Date,Artists,Day,Showtime,Genre,Returning Act
4/3/18,Band188,Tue,8:00:00 PM,indie,
4/5/18,Band383,Thu,8:00:00 PM,hip hop,
4/7/18,Band80,Sat,9:00:00 PM,Americana,x
4/9/18,Band8,Mon,8:00:00 PM,hip hop,
4/11/18,Band178,Wed,8:00:00 PM,indie,
4/11/18,Band456,Wed,8:00:00 PM,Indie,
4/12/18,Band427,Thu,8:00:00 PM,Americana,x
4/17/18,Band454,Tue,8:00:00 PM,indie,x
4/18/18,Band413,Wed,8:00:00 PM,hip hop,
4/19/18,Band155,Thu,9:00:00 PM,Roots/Rock,
4/21/18,Band379,Sat,9:00:00 PM,indie,
4/22/18,Band399,Sun,8:00:00 PM,Americana,
4/26/18,Band380,Thu,8:00:00 PM,Americana,
4/27/18,Band359,Fri,8:00:00 PM,Folk,
4/28/18,Band74,Sat,8:00:00 PM,hip hop,
4/29/18,Band4,Sun,8:00:00 PM,Roots/Rock,
5/1/18,Band250,Tue,8:00:00 PM,Electronic,
5/1/18,Band348,Tue,8:00:00 PM,Electronic,
5/5/18,Band18,Sat,8:00:00 PM,Indie,
5/7/18,Band174,Mon,8:00:00 PM,indie,
5/9/18,Band439,Wed,8:00:00 PM,Indie,
5/11/18,Band267,Fri,9:00:00 PM,Comedy,
5/13/18,Band214,Sun,7:30:00 PM,indie,
5/15/18,Band217,Tue,8:30:00 PM,Electronic,
5/20/18,Band162,Sun,7:30:00 PM,Metal,
5/24/18,Band341,Thu,8:00:00 PM,Americana,x
5/25/18,Band353,Fri,9:00:00 PM,Americana,
6/3/18,Band314,Sun,8:00:00 PM,Roots/Rock,
6/7/18,Band118,Thu,9:00:00 PM,Roots/Rock,
6/8/18,Band48,Fri,9:00:00 PM,Roots/Rock,
6/15/18,Band443,Fri,8:00:00 PM,indie,
6/17/18,Band169,Sun,8:00:00 PM,indie,
6/19/18,Band87,Tue,8:00:00 PM,Electronic,x
6/23/18,Band426,Sat,8:00:00 PM,hip hop,
6/27/18,Band49,Wed,8:00:00 PM,Roots/Rock,
6/29/18,Band281,Fri,9:00:00 PM,Indie,
7/8/18,Band60,Sun,8:00:00 PM,Americana,
7/11/18,Band111,Wed,9:00:00 PM,Electronic,
7/15/18,Band340,Sun,8:00:00 PM,Americana,x
7/17/18,Band402,Tue,8:00:00 PM,indie,
7/20/18,Band81,Fri,9:00:00 PM,hip hop,x
7/22/18,Band418,Sun,8:00:00 PM,Folk,x
7/24/18,Band129,Tue,8:00:00 PM,Roots/Rock,
7/27/18,Band288,Fri,9:00:00 PM,Americana,
7/28/18,Band387,Sat,8:00:00 PM,Metal,
7/29/18,Band421,Sun,7:30:00 PM,Roots/Rock,
7/31/18,Band166,Tue,8:00:00 PM,Indie,
8/3/18,Band448,Fri,9:00:00 PM,Roots/Rock,x
8/19/18,Band373,Sun,8:00:00 PM,Americana,
8/23/18,Band132,Thu,8:00:00 PM,folk,
8/24/18,Band422,Fri,8:00:00 PM,Americana,x
8/25/18,Band365,Sat,12:25:00 PM,Punk,
8/26/18,Band122,Sun,8:00:00 PM,Americana,
8/27/18,Band273,Mon,8:00:00 PM,Americana,
8/29/18,Band198,Wed,8:00:00 PM,comedy,
8/31/18,Band420,Fri,9:00:00 PM,Americana,
9/2/18,Band260,Sun,8:00:00 PM,Comedy,
9/3/18,Band396,Mon,8:00:00 PM,Punk,
9/6/18,Band460,Thu,9:00:00 PM,hip hop,
9/7/18,Band138,Fri,8:00:00 PM,indie,
9/9/18,Band254,Sun,8:00:00 PM,hip hop,
9/19/18,Band322,Wed,8:00:00 PM,Americana,x
9/20/18,Band298,Thu,8:00:00 PM,Americana,
9/21/18,Band303,Fri,7:00:00 PM,Roots/Rock,
9/22/18,Band62,Sat,8:00:00 PM,Americana,
9/26/18,Band29,Wed,8:00:00 PM,Metal,
9/28/18,Band347,Fri,8:30:00 PM,indie,
9/30/18,Band293,Sun,7:30:00 PM,Metal,x 
10/3/18,Band193,Wed,8:00:00 PM,Roots/Rock,
10/6/18,Band431,Sat,8:30:00 PM,Roots/Rock,x
10/10/18,Band99,Wed,6:00:00 PM,Metal,x
10/11/18,Band277,Thu,9:00:00 PM,Roots/Rock,
10/12/18,Band283,Fri,9:00:00 PM,World,
10/14/18,Band264,Sun,8:00:00 PM,Indie,
10/17/18,Band85,Wed,8:00:00 PM,Electronic,
10/19/18,Band446,Fri,8:00:00 PM,Roots/Rock,
10/20/18,Band126,Sat,8:00:00 PM,R&B/Soul,x
10/23/18,Band433,Tue,8:00:00 PM,Roots/Rock,
10/24/18,Band23,Wed,8:00:00 PM,Americana,
10/26/18,Band75,Fri,8:00:00 PM,Americana,x
10/27/18,Band385,Sat,9:00:00 PM,Indie,x
10/27/18,Band385,Sat,9:00:00 PM,Indie,x
11/1/18,Band450,Thu,8:00:00 PM,indie,x
11/3/18,Band391,Sat,12:30:00 PM,Punk,
11/4/18,Band316,Sun,8:00:00 PM,indie,
11/6/18,Band376,Tue,8:00:00 PM,indie,x 
11/8/18,Band251,Thu,8:00:00 PM,Roots/Rock,
11/9/18,Band247,Fri,9:00:00 PM,hip hop,
11/10/18,Band197,Sat,9:00:00 PM,hip hop,x
11/14/18,Band1,Wed,8:00:00 PM,Indie,x 
11/16/18,Band474,Fri,8:00:00 PM,hip hop,
11/17/18,Band349,Sat,8:00:00 PM,Punk,
11/18/18,Band453,Sun,8:00:00 PM,indie,
11/21/18,Band248,Wed,8:00:00 PM,Indie,
11/23/18,Band294,Fri,7:00:00 PM,hip hop,
11/24/18,Band473,Sat,9:00:00 PM,hip hop,
11/30/18,Band271,Fri,9:00:00 PM,americana,
12/4/18,Band461,Tue,8:00:00 PM,indie,
12/5/18,Band140,Wed,8:00:00 PM,indie,x
12/6/18,Band76,Thu,9:00:00 PM,indie,
12/8/18,Band308,Sat,9:00:00 PM,Americana,
12/11/18,Band84,Tue,8:00:00 PM,Roots/Rock,
12/14/18,Band470,Fri,8:00:00 PM,Roots/Rock,x
12/22/18,Band13,Sat,9:00:00 PM,hip hop,
12/26/18,Band230,Wed,9:00:00 PM,hip hop,
12/28/18,Band47,Fri,9:00:00 PM,hip hop,
12/30/18,Band117,Sun,8:00:00 PM,comedy,
12/31/18,Band295,Mon,10:00:00 PM,,
1/14/19,Band204,Mon,8:00:00 PM,indie,
1/25/19,Band414,Fri,8:00:00 PM,Roots/Rock,
1/26/19,Band14,Sat,9:00:00 PM,indie,
1/27/19,Band20,Sun,8:00:00 PM,indie,
1/30/19,Band422,Wed,8:00:00 PM,Americana,x
2/1/19,Band244,Fri,8:00:00 PM,Indie,
2/6/19,Band212,Wed,8:00:00 PM,indie,x
2/8/19,Band158,Fri,9:00:00 PM,Americana,
2/15/19,Band262,Fri,10:00:00 PM,hip hop,
2/16/19,Band472,Sat,9:00:00 PM,Roots/Rock,x
2/19/19,Band106,Tue,8:00:00 PM,Indie,
2/21/19,Band222,Thu,8:00:00 PM,World,x
2/24/19,Band272,Sun,8:00:00 PM,Indie,
2/26/19,Band291,Tue,8:00:00 PM,hip hop,
2/28/19,Band346,Thu,8:00:00 PM,Americana,x
3/1/19,Band44,Fri,9:00:00 PM,Americana,
3/6/19,Band79,Wed,8:00:00 PM,Comedy,
3/8/19,Band238,Fri,8:00:00 PM,Americana,x
3/9/19,Band361,Sat,8:00:00 PM,indie,
3/10/19,Band16,Sun,8:00:00 PM,Americana,
3/15/19,Band80,Fri,9:00:00 PM,comedy,x
3/22/19,Band366,Fri,9:00:00 PM,Roots/Rock,x
3/23/19,Band190,Sat,9:00:00 PM,Roots/Rock,x
3/24/19,Band17,Sun,8:00:00 PM,Roots/Rock,
3/30/19,Band261,Sat,8:00:00 PM,World,
4/2/19,Band437,Tue,8:00:00 PM,hip hop,x
4/3/19,Band437,Wed,8:00:00 PM,hip hop,x
4/6/19,Band337,Sat,9:00:00 PM,Americana,
